street,suburb,government_area,market,country,country_code,is_location_exact,type,Latitude,Longitude
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.1413,-8.61308
Rio de Janeiro,Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,True,Point,-22.96625355173965,-43.23074991429229
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,True,Point,21.28634,-157.83919
Brooklyn,Brooklyn,Bushwick,New York,United States,US,True,Point,40.69791,-73.93615
Rio de Janeiro,Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,True,Point,-22.971950988341877,-43.20504708263344
New York,Manhattan,Upper West Side,New York,United States,US,False,Point,40.79962,-73.96523
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,False,Point,-22.98433936006781,-43.19084919446341
Kadıköy,Moda,Kadikoy,Istanbul,Turkey,TR,True,Point,40.98585,29.03133
Rio de Janeiro,Catete,Catete,Rio De Janeiro,Brazil,BR,True,Point,-22.92638234778768,-43.18015675229857
Montréal,Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.51889,-73.59111
Brooklyn,Greenpoint,Greenpoint,New York,United States,US,True,Point,40.72778,-73.94472
Montréal,Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,False,Point,45.54548,-73.54949
Hong Kong,Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28158,114.15027
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.52233,-73.57383
Rio de Janeiro,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,False,Point,-23.00035792660916,-43.4311123147628
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.30469,114.17158
Barcelona,Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,True,Point,41.40082,2.16942
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.15225,-8.61123
Hong Kong ,Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,True,Point,22.3314,114.1669
Surry Hills,Darlinghurst,Sydney,Sydney,Australia,AU,True,Point,-33.88029,151.21554
Beyoğlu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,False,Point,41.03777,28.95825
New York,Manhattan,Chelsea,New York,United States,US,True,Point,40.74577,-74.00074
Darlinghurst,Darlinghurst,Sydney,Sydney,Australia,AU,False,Point,-33.87603,151.21346
Rozelle,Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,True,Point,-33.86296,151.17956
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.1543,-8.60867
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,False,Point,41.04841,28.98713
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,False,Point,41.04772,28.98818
Rio de Janeiro,Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,False,Point,-22.93054146036793,-43.1825954762751
Vila do Conde,Porto,Vila do Conde,Porto,Portugal,PT,False,Point,41.3596,-8.75383
New York,Manhattan,Lower East Side,New York,United States,US,False,Point,40.72063,-73.98944
New York,Upper East Side,Upper East Side,New York,United States,US,False,Point,40.7664,-73.95854
Fatih ,Fatih,Fatih,Istanbul,Turkey,TR,False,Point,41.0062,28.98009
Queens,Queens,Jackson Heights,New York,United States,US,True,Point,40.74953,-73.88025
Queens,Queens,Briarwood,New York,United States,US,True,Point,40.71485,-73.82257
Hong Kong,Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28422,114.15007
New York,Manhattan,East Harlem,New York,United States,US,True,Point,40.79805,-73.93943
Brooklyn,Williamsburg,Williamsburg,New York,United States,US,True,Point,40.71552,-73.93869
Coogee,Coogee,Randwick,Sydney,Australia,AU,True,Point,-33.92398,151.25541
Rio de Janeiro,Vila Isabel,Vila Isabel,Rio De Janeiro,Brazil,BR,False,Point,-22.91500935448249,-43.24277868091869
Istanbul,Istanbul,Sariyer,Istanbul,Turkey,TR,False,Point,41.12452,29.03693
Montreal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.52028,-73.58774
Zeytinburnu,Istanbul,Zeytinburnu,Istanbul,Turkey,TR,False,Point,40.99667,28.89964
Rio de Janeiro,Rio De Janeiro,Ipanema,Rio De Janeiro,Brazil,BR,False,Point,-22.980051683700506,-43.1998455458952
Fairlight,Fairlight,Manly,Sydney,Australia,AU,False,Point,-33.79629,151.26969
Narrabeen,Sydney,Warringah,Sydney,Australia,AU,True,Point,-33.71472,151.29792
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.31655,114.17034
Rio de Janeiro,Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,True,Point,-23.008710784460312,-43.45296045334386
Kailua-Kona,Kailua/Kona,North Kona,The Big Island,United States,US,True,Point,19.5702,-155.96445
Lahaina,Maui,Lahaina,Maui,United States,US,True,Point,20.96996,-156.68012
Rio de Janeiro,Tijuca,Tijuca,Rio De Janeiro,Brazil,BR,False,Point,-22.936203246553816,-43.247421907135774
Hong Kong,Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.31723,114.17073
Hong Kong,Hong Kong,Islands,Hong Kong,Hong Kong,HK,False,Point,22.27671,113.92823
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,False,Point,-22.96270793328072,-43.17714541632985
Waianae,Leeward Side,Waianae,Oahu,United States,US,True,Point,21.4818,-158.20291
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,True,Point,-22.98034625363379,-43.20056249420509
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.14404,-8.61205
Volcano,Island of Hawaiʻi,Puna,The Big Island,United States,US,False,Point,19.42151,-155.21763
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,False,Point,-22.983108745795256,-43.20465630892734
Rio de Janeiro,Flamengo,Flamengo,Rio De Janeiro,Brazil,BR,False,Point,-22.93848268819496,-43.17645081249057
New York,Upper West Side,Upper West Side,New York,United States,US,True,Point,40.78558,-73.9696
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,True,Point,-23.011117008024065,-43.36831676949888
Brooklyn,Williamsburg,Williamsburg,New York,United States,US,True,Point,40.71577,-73.96053
Laie,Ko'olauloa,Koolauloa,Oahu,United States,US,True,Point,21.63549,-157.91952
Rio de Janeiro,Rio De Janeiro,Anil,Rio De Janeiro,Brazil,BR,True,Point,-22.94836549045056,-43.33496705036137
Bronx,Tremont,Fordham,New York,United States,US,True,Point,40.85598,-73.90052
Hong Kong,Tsim Sha Tsui,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.29663,114.17088
Şişli,Kadıköy,Kadikoy,Istanbul,Turkey,TR,False,Point,40.98837,29.06064
Istanbul,Beşiktaş,Sariyer,Istanbul,Turkey,TR,False,Point,41.08835,29.05108
Porto,Porto,Bonfim,Porto,Portugal,PT,True,Point,41.16246,-8.60069
Rio de Janeiro,Catete,Catete,Rio De Janeiro,Brazil,BR,False,Point,-22.93171589917869,-43.17888629206925
Istanbul,Cihangir,Beyoglu,Istanbul,Turkey,TR,True,Point,41.03326,28.98538
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,False,Point,-23.004633399469007,-43.3089745798612
Rio de Janeiro,Rio De Janeiro,Tanque,Rio De Janeiro,Brazil,BR,True,Point,-22.91636184358952,-43.37035220190699
Waialua,Oʻahu,North Shore Oahu,Oahu,United States,US,False,Point,21.57561,-158.1602
Rio de Janeiro,Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,False,Point,-22.98255730525777,-43.20577175003696
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,False,Point,-23.008991691724663,-43.35397067257831
Balgowlah,Balgowlah,Manly,Sydney,Australia,AU,True,Point,-33.7975,151.26108
Bondi Beach,Bondi Beach,Waverley,Sydney,Australia,AU,False,Point,-33.8872,151.27448
Kihei,Maui,Kihei-Makena,Maui,United States,US,True,Point,20.78621,-156.46881
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,True,Point,-22.963149303022146,-43.1779488969792
Matosinhos,Porto,Matosinhos e Leça da Palmeira,Porto,Portugal,PT,False,Point,41.17544,-8.68887
Rio de Janeiro,São Conrado,São Conrado,Rio De Janeiro,Brazil,BR,False,Point,-22.99391888061395,-43.27502007153333
Mongkok,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,False,Point,22.32074,114.17094
Greenwich,Greenwich,Lane Cove,Sydney,Australia,AU,True,Point,-33.8289,151.18563
Marrickville,Marrickville,Marrickville,Sydney,Australia,AU,False,Point,-33.90318,151.15036
Rio de Janeiro,Botafogo,Botafogo,Rio De Janeiro,Brazil,BR,False,Point,-22.941321220162784,-43.17933175178738
Beyoğlu,Beyoglu,Beyoglu,Istanbul,Turkey,TR,False,Point,41.03735,28.97477
Porto,Porto,Bonfim,Porto,Portugal,PT,True,Point,41.1462,-8.59275
Beşiktaş,Beşiktaş,Besiktas,Istanbul,Turkey,TR,True,Point,41.05197,29.02519
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,True,Point,-23.009702689174244,-43.32231287289854
Sham Shui Po,Sham Shui Po,Sham Shui Po,Hong Kong,Hong Kong,HK,False,Point,22.32733,114.16262
Hilo,Island of Hawaiʻi,South Hilo,The Big Island,United States,US,True,Point,19.73108,-155.09259
Brooklyn,Fort Greene,Fort Greene,New York,United States,US,True,Point,40.69406,-73.98102
Barcelona,Eixample,el Fort Pienc,Barcelona,Spain,ES,True,Point,41.40087,2.17963
Brooklyn,Williamsburg,Williamsburg,New York,United States,US,True,Point,40.70687,-73.93981
Kailua-Kona,Island of Hawaiʻi,North Kona,The Big Island,United States,US,False,Point,19.61318,-155.97349
Rushcutters Bay,Elizabeth Bay/Rushcutters Bay,Sydney,Sydney,Australia,AU,True,Point,-33.87604,151.22559
Barcelona,Can Baro,Can Baró,Barcelona,Spain,ES,True,Point,41.41582,2.15836
Porto,Porto,Cedofeita,Porto,Portugal,PT,True,Point,41.16093,-8.6114
Rio de Janeiro,Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,False,Point,-22.96448811710617,-43.22076222600562
Brooklyn,Brooklyn,South Slope,New York,United States,US,True,Point,40.6651,-73.98307
Honolulu,Oʻahu,Primary Urban Center,Oahu,United States,US,True,Point,21.29561,-157.78578
Barcelona,el Fort Pienc,el Fort Pienc,Barcelona,Spain,ES,True,Point,41.39716,2.18146
Taksim,Beyoglu,Beyoglu,Istanbul,Turkey,TR,True,Point,41.03376,28.98648
Rio de Janeiro,Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,False,Point,-22.9313871086666,-43.17974071338275
New York,Manhattan,Harlem,New York,United States,US,True,Point,40.80708,-73.95211
Shatin ,Hong Kong,Tsuen Wan,Hong Kong,Hong Kong,HK,False,Point,22.40547,114.12074
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.14295,-8.61602
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,True,Point,-22.964922391816017,-43.17596611897592
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,True,Point,-23.011124595436097,-43.32984175609327
Kadıköy,Kadıköy,Kadikoy,Istanbul,Turkey,TR,True,Point,40.98825,29.02588
Rio de Janeiro,Leblon,Leblon,Rio De Janeiro,Brazil,BR,False,Point,-22.98416287210616,-43.22120070184858
Sheung Wan,Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28351,114.15241
Porto,Porto,Cedofeita,Porto,Portugal,PT,False,Point,41.14106,-8.61279
Rio de Janeiro,Santa Teresa,Santa Teresa,Rio De Janeiro,Brazil,BR,True,Point,-22.917475613135107,-43.17823402580154
Keaau,Island of Hawaiʻi,Puna,The Big Island,United States,US,True,Point,19.56081,-155.02503
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,False,Point,-23.01216083013239,-43.43656065280531
Montréal,Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,True,Point,45.52517,-73.60137
Barcelona,Sant Martí,el Clot,Barcelona,Spain,ES,True,Point,41.41254,2.19057
Brooklyn,Brooklyn,Crown Heights,New York,United States,US,True,Point,40.67414,-73.95667
Princeville,Kauaʻi,North Shore Kauai,Kauai,United States,US,True,Point,22.22739,-159.48653
Barcelona,Gràcia,la Vila de Gràcia,Barcelona,Spain,ES,True,Point,41.40686,2.15533
Rio de Janeiro,Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,True,Point,-23.00878356989572,-43.343027190397
Barcelona,Eixample,la Sagrada Família,Barcelona,Spain,ES,True,Point,41.41035,2.17519
Petersham,Petersham,Marrickville,Sydney,Australia,AU,True,Point,-33.89931,151.15851
Istanbul,Beyoglu,Beyoglu,Istanbul,Turkey,TR,False,Point,41.03406,28.97994
Şişli,Şişli,Sisli,Istanbul,Turkey,TR,False,Point,41.05261,28.99363
Porto,Porto,Bonfim,Porto,Portugal,PT,True,Point,41.14684,-8.60106
New York,Lower East Side,Lower East Side,New York,United States,US,True,Point,40.71823,-73.98319
Istanbul,Fatih,Fatih,Istanbul,Turkey,TR,True,Point,41.03301,28.94457
Beyoğlu,Taksim,Beyoglu,Istanbul,Turkey,TR,True,Point,41.03445,28.98789
Barcelona,Eixample,la Nova Esquerra de l'Eixample,Barcelona,Spain,ES,True,Point,41.38475,2.14596
Barcelona,El Gòtic,el Barri Gòtic,Barcelona,Spain,ES,True,Point,41.38049,2.17778
Brooklyn,Brooklyn,Williamsburg,New York,United States,US,True,Point,40.70528,-73.94384
Hong Kong,Mid-Levels,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28028,114.15315
Üsküdar,Üsküdar,Uskudar,Istanbul,Turkey,TR,False,Point,41.01499,29.08565
Rio de Janeiro,Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,False,Point,-22.976504206582877,-43.189916447135005
Quarry Bay,Quarry Bay,Eastern,Hong Kong,Hong Kong,HK,False,Point,22.29099,114.20854
Hong Kong,Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,True,Point,22.308,114.16558
Hong Kong,Sheung Wan,Central & Western,Hong Kong,Hong Kong,HK,True,Point,22.28582,114.15202
New York,Morningside Heights,Morningside Heights,New York,United States,US,True,Point,40.80732,-73.9648
Rio de Janeiro,Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,False,Point,-22.938257466286093,-43.1838890521465
Rio de Janeiro,Bonsucesso,Bonsucesso,Rio De Janeiro,Brazil,BR,True,Point,-22.862647394041375,-43.24972983198035
Brooklyn,Fort Greene,Fort Greene,New York,United States,US,True,Point,40.6884,-73.97527
Rio de Janeiro,São Cristóvão,São Cristóvão,Rio De Janeiro,Brazil,BR,True,Point,-22.89142169593252,-43.21872245840377
New York,Midtown,Hell's Kitchen,New York,United States,US,True,Point,40.76438,-73.99482
